n,N_subjects,mean_R_FULL,median_R_FULL,sd_between_subjects
1,30,0.008327619047619047,0.013828571428571423,0.038044130709751135
2,30,0.020513015873015874,0.01386666666666667,0.032100751134031755
4,30,0.07455746031746031,0.046438095238095244,0.07757261095879545
8,30,0.20678603174603177,0.14643809523809526,0.17626690322570113
16,30,0.4038907936507936,0.3712,0.22463240592869044
32,30,0.6236342857142856,0.650704761904762,0.20613727275004629
64,29,0.75696026272578,0.7984000000000002,0.18740838599874896
