cohort,subject,INTERFERENCE,ANGLE
CA_Level5A,CA101,0.9352380952380952,0.7942857142857143
CA_Level5A,CA102,0.7333333333333335,0.8171428571428571
CA_Level5A,CA103,0.862857142857143,0.7257142857142859
CA_Level5A,CA104,0.779047619047619,0.8133333333333334
CA_Level5A,CA106,0.6838095238095239,0.5809523809523809
CA_Level5A,CA107,0.3752380952380952,0.1428571428571428
CA_Level5A,CA108,0.5733333333333334,0.6038095238095238
CA_Level5A,CA109,0.7980952380952381,0.5466666666666666
CA_Level5A,CA110,0.9085714285714288,0.8819047619047621
CA_Level5A,CA112,0.8819047619047621,0.7523809523809523
CA_Level5A,CA113,0.3142857142857143,0.4285714285714286
CA_Level5A,CA114,0.942857142857143,0.9542857142857144
CA_Level5A,CA116,0.782857142857143,0.7942857142857144
CA_Level5A,CA118,0.9085714285714288,0.740952380952381
CA_Level5A,CA121,0.078095238095238,-0.1009523809523809
CA_Level5A,CA125,0.4095238095238095,0.3066666666666666
CA_Level5A,CA126,0.5657142857142858,0.8171428571428572
CA_Level5A,CA127,0.9009523809523812,0.8590476190476192
CA_Level5A,CA128,0.8247619047619048,0.8400000000000002
CA_Level5A,CA131,0.6952380952380952,0.7790476190476192
CA_Level5A,CA132,0.6571428571428573,0.5047619047619049
CA_Level5A,CA133,0.6952380952380952,0.5733333333333334
CA_Level5A,CA134,0.923809523809524,0.8057142857142857
CA_Level5A,CA136,0.9161904761904762,0.7600000000000001
CA_Level5A,CA138,0.7333333333333332,0.6190476190476191
CA_Level5A,CA139,0.9504761904761906,0.9276190476190478
CA_Level5A,CA142,0.7790476190476191,0.7028571428571428
CA_Level5A,CA144,0.8400000000000001,0.7676190476190479
CA_Level5A,CA145,0.9200000000000002,0.9085714285714288
CA_Level5A,CA146,0.92,0.8666666666666667
CB_Level6A_strict,CB001,0.8742857142857144,0.843809523809524
CB_Level6A_strict,CB002,0.1809523809523809,0.0971428571428571
CB_Level6A_strict,CB003,0.7980952380952382,0.5352380952380952
CB_Level6A_strict,CB006,0.7904761904761906,0.7790476190476191
CB_Level6A_strict,CB008,0.6152380952380951,0.7447619047619048
CB_Level6A_strict,CB011,0.7523809523809526,0.580952380952381
CB_Level6A_strict,CB015,0.8666666666666668,0.7942857142857143
CB_Level6A_strict,CB016,0.5390476190476191,0.5923809523809525
CB_Level6A_strict,CB019,0.2228571428571428,0.1542857142857143
CB_Level6A_strict,CB020,0.9390476190476192,0.8476190476190477
CB_Level6A_strict,CB022,-0.1276190476190476,-0.1466666666666666
CB_Level6A_strict,CB023,0.7942857142857143,0.6876190476190477
CB_Level6A_strict,CB024,0.5923809523809525,0.2342857142857143
CB_Level6A_strict,CB027,0.3219047619047619,0.2876190476190476
CB_Level6A_strict,CB028,0.3676190476190476,0.12
CB_Level6A_strict,CB029,0.8057142857142858,0.7104761904761904
CB_Level6A_strict,CB030,0.3714285714285715,0.2076190476190476
CB_Level6A_strict,CB031,0.7866666666666667,0.6228571428571429
CB_Level6A_strict,CB035,0.702857142857143,0.7447619047619048
CB_Level6A_strict,CB036,0.5733333333333334,0.3980952380952381
CB_Level6A_strict,CB038,0.6076190476190477,0.500952380952381
CB_Level6A_strict,CB039,0.942857142857143,0.7447619047619048
CB_Level6A_strict,CB040,0.8133333333333332,0.5923809523809523
CB_Level6A_strict,CB041,0.6571428571428571,0.6647619047619049
CB_Level6A_strict,CB042,0.2685714285714285,0.52
CB_Level6A_strict,CB044,0.478095238095238,0.3295238095238095
CB_Level6A_strict,CB045,0.2914285714285715,0.2685714285714285
CB_Level6A_strict,CB049,0.1580952380952381,0.0285714285714285
CB_Level6A_strict,CB050,0.8285714285714287,0.660952380952381
CB_Level6A_strict,CB051,0.8323809523809526,0.718095238095238
