cohort,endpoint,mean,ci_low,ci_high,p_one_sided
CA_Level5A,FULL,0.7851428571428574,0.7165714285714286,0.8387301587301589,9.99990000099999e-06
CA_Level5A,AP,0.7484444444444445,0.6788571428571429,0.8034285714285715,9.99990000099999e-06
CA_Level5A,AMP,0.6062222222222222,0.5006952380952382,0.7007015873015872,9.99990000099999e-06
CA_Level5A,ENERGY,0.7902222222222224,0.7198730158730159,0.8435555555555555,9.99990000099999e-06
CA_Level5A,PRODUCT,0.7697777777777777,0.6967587301587302,0.8286984126984128,9.99990000099999e-06
CA_Level5A,INTERFERENCE,0.7429841269841273,0.6629841269841271,0.8126984126984128,9.99990000099999e-06
CA_Level5A,ANGLE,0.6838095238095236,0.5931396825396826,0.7622857142857142,9.99990000099999e-06
CA_Level5A,INTERFERENCE_TO_FULL,0.7458412698412699,0.6767603174603175,0.8055873015873017,9.99990000099999e-06
CA_Level5A,INTERFERENCE_TO_AP,0.7351111111111112,0.6638730158730161,0.7963174603174604,9.99990000099999e-06
CA_Level5A,PRODUCT_TO_AP,0.7012698412698414,0.6420317460317462,0.7473015873015872,9.99990000099999e-06
CA_Level5A,ENERGY_TO_FULL,0.7443174603174604,0.6838730158730161,0.7863492063492062,9.99990000099999e-06
CB_Level6A_strict,FULL,0.6797460317460318,0.6050793650793652,0.748825396825397,9.99990000099999e-06
CB_Level6A_strict,AP,0.6537142857142856,0.574984126984127,0.7253365079365078,9.99990000099999e-06
CB_Level6A_strict,AMP,0.48469841269841274,0.3763809523809524,0.5881936507936506,9.99990000099999e-06
CB_Level6A_strict,ENERGY,0.7186031746031745,0.6558730158730158,0.7740952380952381,9.99990000099999e-06
CB_Level6A_strict,PRODUCT,0.709968253968254,0.6460952380952381,0.7672412698412697,9.99990000099999e-06
CB_Level6A_strict,INTERFERENCE,0.5881904761904763,0.48800000000000004,0.6815238095238096,9.99990000099999e-06
CB_Level6A_strict,ANGLE,0.4954920634920635,0.39682539682539686,0.5880634920634921,9.99990000099999e-06
CB_Level6A_strict,INTERFERENCE_TO_FULL,0.6177142857142859,0.5332698412698413,0.6962555555555556,9.99990000099999e-06
CB_Level6A_strict,INTERFERENCE_TO_AP,0.6094603174603176,0.5193650793650794,0.6902238095238096,9.99990000099999e-06
CB_Level6A_strict,PRODUCT_TO_AP,0.6362539682539683,0.5763809523809524,0.6895873015873016,9.99990000099999e-06
CB_Level6A_strict,ENERGY_TO_FULL,0.6694603174603174,0.6090158730158729,0.7236190476190476,9.99990000099999e-06
