subject,FULL,AP,AMP,ENERGY,PRODUCT,INTERFERENCE,ANGLE,INTERFERENCE_TO_FULL,INTERFERENCE_TO_AP,PRODUCT_TO_AP,ENERGY_TO_FULL,AP_minus_PRODUCT,PRODUCT_minus_AP
CB001,0.8019047619047619,0.8361904761904763,0.92,0.8704761904761906,0.8323809523809526,0.8742857142857144,0.843809523809524,0.8323809523809526,0.8514285714285716,0.7980952380952382,0.8190476190476191,0.003809523809523707,-0.003809523809523707
CB002,0.3790476190476191,0.3257142857142856,0.13904761904761906,0.820952380952381,0.7066666666666668,0.18095238095238095,0.09714285714285716,0.22095238095238096,0.20761904761904762,0.5466666666666666,0.6171428571428572,-0.38095238095238115,0.38095238095238115
CB003,0.7866666666666667,0.7904761904761906,0.5199999999999999,0.8095238095238096,0.7828571428571429,0.7980952380952382,0.5352380952380952,0.7695238095238096,0.7695238095238096,0.6552380952380953,0.7104761904761906,0.007619047619047636,-0.007619047619047636
CB006,0.8209523809523811,0.8361904761904762,0.744761904761905,0.8400000000000001,0.9123809523809526,0.7904761904761906,0.7790476190476191,0.8000000000000002,0.801904761904762,0.7771428571428572,0.7714285714285716,-0.07619047619047647,0.07619047619047647
CB008,0.8552380952380954,0.7676190476190478,0.6190476190476192,0.7485714285714287,0.7866666666666667,0.6152380952380951,0.7447619047619048,0.7295238095238096,0.68,0.7295238095238096,0.7771428571428572,-0.01904761904761898,0.01904761904761898
CB011,0.7142857142857143,0.7333333333333333,0.5923809523809525,0.8514285714285715,0.8476190476190477,0.7523809523809526,0.580952380952381,0.7066666666666668,0.7200000000000001,0.7638095238095238,0.7733333333333333,-0.11428571428571443,0.11428571428571443
CB015,0.9352380952380953,0.8933333333333333,0.7980952380952382,0.9314285714285714,0.9276190476190477,0.8666666666666668,0.7942857142857143,0.8914285714285716,0.8800000000000001,0.8000000000000003,0.8704761904761907,-0.034285714285714364,0.034285714285714364
CB016,0.36000000000000004,0.41714285714285715,0.08190476190476191,0.4971428571428572,0.5885714285714286,0.5390476190476191,0.5923809523809525,0.4057142857142857,0.45714285714285713,0.35809523809523813,0.3390476190476191,-0.17142857142857149,0.17142857142857149
CB019,0.30666666666666664,0.3371428571428572,0.34095238095238095,0.6342857142857142,0.5504761904761905,0.22285714285714286,0.1542857142857143,0.24952380952380954,0.27619047619047615,0.42666666666666664,0.4552380952380952,-0.21333333333333326,0.21333333333333326
CB020,0.8819047619047621,0.8400000000000002,0.8666666666666668,0.9466666666666667,0.9504761904761906,0.9390476190476191,0.8476190476190477,0.8228571428571432,0.8323809523809527,0.8647619047619047,0.8895238095238097,-0.1104761904761904,0.1104761904761904
