subject,FULL,AP,AMP,ENERGY,PRODUCT,INTERFERENCE,ANGLE,INTERFERENCE_TO_FULL,INTERFERENCE_TO_AP,PRODUCT_TO_AP,ENERGY_TO_FULL,AP_minus_PRODUCT,PRODUCT_minus_AP
CA101,0.8552380952380952,0.8323809523809523,0.9047619047619049,0.8857142857142858,0.9123809523809524,0.9352380952380953,0.7942857142857143,0.8952380952380954,0.8838095238095238,0.8000000000000003,0.7866666666666668,-0.08000000000000007,0.08000000000000007
CA102,0.7409523809523811,0.7333333333333335,0.6304761904761905,0.7714285714285715,0.6914285714285716,0.7333333333333335,0.8171428571428571,0.7333333333333333,0.7371428571428573,0.7104761904761906,0.7714285714285715,0.04190476190476189,-0.04190476190476189
CA103,0.8552380952380955,0.8133333333333332,0.8133333333333336,0.9542857142857143,0.9047619047619049,0.862857142857143,0.7257142857142859,0.7809523809523811,0.7695238095238096,0.8552380952380952,0.9142857142857144,-0.09142857142857164,0.09142857142857164
CA104,0.7600000000000001,0.7409523809523811,0.27238095238095233,0.7028571428571427,0.6266666666666667,0.779047619047619,0.8133333333333334,0.7714285714285712,0.76,0.6666666666666666,0.7066666666666666,0.11428571428571443,-0.11428571428571443
CA106,0.7447619047619047,0.7066666666666666,0.34857142857142853,0.8628571428571429,0.8476190476190477,0.6838095238095239,0.5809523809523809,0.6990476190476191,0.6876190476190476,0.6914285714285714,0.742857142857143,-0.14095238095238116,0.14095238095238116
CA107,0.6647619047619048,0.5733333333333334,0.36,0.6228571428571429,0.5657142857142857,0.3752380952380952,0.14285714285714282,0.5295238095238095,0.4819047619047619,0.6038095238095238,0.6723809523809524,0.007619047619047636,-0.007619047619047636
CA108,0.68,0.6838095238095239,0.6152380952380953,0.8133333333333334,0.7866666666666667,0.5733333333333334,0.6038095238095238,0.6361904761904762,0.638095238095238,0.7333333333333333,0.7542857142857142,-0.10285714285714287,0.10285714285714287
CA109,0.9047619047619049,0.8666666666666667,0.5123809523809524,0.8171428571428571,0.7485714285714288,0.7980952380952381,0.5466666666666666,0.8400000000000001,0.8247619047619048,0.7980952380952381,0.8438095238095239,0.11809523809523792,-0.11809523809523792
CA110,0.8742857142857143,0.8400000000000001,0.8780952380952382,0.9238095238095239,0.9161904761904762,0.9085714285714288,0.8819047619047621,0.9009523809523811,0.8723809523809525,0.8133333333333336,0.8000000000000003,-0.07619047619047614,0.07619047619047614
CA112,0.8552380952380954,0.6990476190476189,0.8171428571428572,0.9542857142857143,0.9542857142857143,0.8819047619047621,0.7523809523809523,0.7599999999999999,0.7390476190476192,0.6419047619047619,0.8000000000000003,-0.2552380952380954,0.2552380952380954
CA113,0.5733333333333334,0.5885714285714286,0.05904761904761906,0.5619047619047618,0.5314285714285715,0.3142857142857143,0.4285714285714286,0.44000000000000006,0.44952380952380955,0.5904761904761904,0.6076190476190476,0.05714285714285716,-0.05714285714285716
CA114,0.9314285714285716,0.9466666666666668,0.8476190476190478,0.9314285714285716,0.9657142857142857,0.942857142857143,0.9542857142857143,0.9371428571428572,0.942857142857143,0.8209523809523811,0.8266666666666668,-0.01904761904761898,0.01904761904761898
CA116,0.9200000000000002,0.8019047619047621,0.4590476190476191,0.8552380952380952,0.8171428571428572,0.782857142857143,0.7942857142857144,0.8057142857142859,0.7904761904761908,0.6,0.7466666666666666,-0.01523809523809505,0.01523809523809505
CA118,0.9200000000000002,0.8857142857142858,0.7066666666666667,0.8095238095238095,0.8857142857142858,0.9085714285714288,0.740952380952381,0.9142857142857145,0.8971428571428574,0.7904761904761907,0.7676190476190478,0.0,-0.0
CA121,0.05142857142857144,0.04380952380952382,-0.07809523809523808,0.024761904761904763,-0.028571428571428567,0.07809523809523808,-0.10095238095238096,0.08952380952380953,0.06285714285714286,0.034285714285714294,0.04,0.07238095238095238,-0.07238095238095238
CA125,0.5047619047619047,0.4552380952380953,-0.14285714285714285,0.7714285714285716,0.6838095238095239,0.4095238095238095,0.30666666666666664,0.4247619047619048,0.40761904761904766,0.539047619047619,0.6095238095238096,-0.2285714285714286,0.2285714285714286
CA126,0.7561904761904762,0.7257142857142856,0.7371428571428572,0.8323809523809523,0.8095238095238096,0.5657142857142858,0.8171428571428572,0.6533333333333334,0.638095238095238,0.7752380952380952,0.8266666666666669,-0.083809523809524,0.083809523809524
CA127,0.8590476190476193,0.8057142857142857,0.8057142857142857,0.7942857142857142,0.8057142857142858,0.9009523809523811,0.8590476190476192,0.8571428571428574,0.8247619047619048,0.7638095238095238,0.8057142857142859,-1.1102230246251565e-16,1.1102230246251565e-16
CA128,0.7980952380952382,0.7752380952380953,0.7561904761904761,0.7409523809523809,0.7676190476190476,0.8247619047619048,0.8400000000000002,0.8114285714285715,0.8000000000000002,0.7504761904761904,0.7619047619047621,0.007619047619047636,-0.007619047619047636
CA131,0.7447619047619048,0.7371428571428571,0.641904761904762,0.7257142857142856,0.6723809523809524,0.6952380952380952,0.7790476190476192,0.7371428571428571,0.7238095238095238,0.7142857142857142,0.7371428571428572,0.06476190476190469,-0.06476190476190469
CA132,0.7142857142857142,0.6952380952380952,0.4476190476190476,0.7257142857142856,0.7485714285714287,0.6571428571428573,0.5047619047619049,0.6419047619047619,0.6552380952380954,0.6704761904761906,0.6914285714285715,-0.053333333333333455,0.053333333333333455
CA133,0.8438095238095239,0.7333333333333335,0.7066666666666666,0.7752380952380953,0.7104761904761905,0.6952380952380952,0.5733333333333334,0.7600000000000001,0.7047619047619047,0.7123809523809524,0.7961904761904763,0.02285714285714302,-0.02285714285714302
CA134,0.8819047619047621,0.8857142857142859,0.8780952380952382,0.9314285714285716,0.9390476190476191,0.9238095238095239,0.8057142857142857,0.820952380952381,0.8571428571428573,0.8419047619047622,0.8685714285714288,-0.05333333333333323,0.05333333333333323
CA136,0.8971428571428572,0.8971428571428572,0.7180952380952381,0.7714285714285715,0.8514285714285715,0.9161904761904762,0.7600000000000001,0.9066666666666667,0.9066666666666667,0.7580952380952382,0.7523809523809523,0.04571428571428571,-0.04571428571428571
CA138,0.7904761904761904,0.6342857142857145,0.699047619047619,0.8171428571428572,0.7942857142857144,0.7333333333333332,0.6190476190476191,0.7028571428571428,0.6495238095238095,0.660952380952381,0.7580952380952384,-0.15999999999999992,0.15999999999999992
CA139,0.9771428571428572,0.9657142857142859,0.900952380952381,0.9314285714285716,0.9352380952380953,0.9504761904761906,0.9276190476190478,0.9638095238095238,0.9561904761904763,0.7333333333333335,0.7676190476190478,0.030476190476190546,-0.030476190476190546
CA142,0.8361904761904763,0.8323809523809526,0.8095238095238098,0.7866666666666665,0.8247619047619046,0.7790476190476191,0.7028571428571428,0.8019047619047619,0.7980952380952381,0.8133333333333336,0.801904761904762,0.0076190476190479695,-0.0076190476190479695
CA144,0.8171428571428573,0.7600000000000001,0.5923809523809523,0.7180952380952381,0.6533333333333334,0.8400000000000001,0.7676190476190479,0.8342857142857144,0.7961904761904762,0.6933333333333334,0.7409523809523811,0.10666666666666669,-0.10666666666666669
CA145,0.8933333333333333,0.8666666666666669,0.5695238095238097,0.9771428571428572,0.9009523809523811,0.9200000000000002,0.9085714285714288,0.8266666666666667,0.8723809523809525,0.596190476190476,0.7580952380952382,-0.03428571428571414,0.03428571428571414
CA146,0.9085714285714285,0.9276190476190478,0.9200000000000002,0.9161904761904762,0.8704761904761907,0.92,0.8666666666666667,0.8990476190476192,0.9257142857142858,0.864761904761905,0.8723809523809524,0.05714285714285705,-0.05714285714285705
