cohort,component,observed_mean,phase_null_mean,phase_null_q025,phase_null_q975,observed_minus_null,empirical_p,paired_effect,paired_ci_low,paired_ci_high,paired_signflip_p
CA_Level5A,INTERFERENCE,0.7429841269841273,0.5309905461016573,0.5029841269841271,0.557720634920635,0.21199358088247,0.001,0.2119935808824698,0.16217366572922134,0.2618292038069816,9.99990000099999e-06
CA_Level5A,ANGLE,0.6838095238095236,-0.0011820074042296264,-0.04342857142857142,0.04038730158730158,0.6849915312137532,0.001,0.6849915312137536,0.5969506077506077,0.7617734973068306,9.99990000099999e-06
CB_Level6A_strict,INTERFERENCE,0.5881904761904763,0.4832452770230548,0.4566158730158729,0.5093396825396825,0.10494519916742145,0.001,0.10494519916742145,0.023946470279803653,0.18773376233376227,0.01106988930110699
CB_Level6A_strict,ANGLE,0.4954920634920635,-0.00103773614884726,-0.04178412698412699,0.03796825396825397,0.49652979964091076,0.001,0.4965297996409107,0.3983111810222922,0.5901985255096366,9.99990000099999e-06
