subject,FULL,AP,AMP,canonical_FULL,canonical_AP,canonical_AMP
CA101,0.8552380952380952,0.8323809523809523,0.9047619047619049,0.7714285714285715,0.7714285714285715,0.8857142857142857
CA102,0.7409523809523811,0.7333333333333335,0.6304761904761905,0.7142857142857143,0.6,0.7714285714285715
CA103,0.8552380952380955,0.8133333333333332,0.8133333333333336,0.8285714285714286,0.8285714285714286,0.8857142857142857
CA104,0.7600000000000001,0.7409523809523811,0.27238095238095233,0.9428571428571428,0.7714285714285715,0.6571428571428571
CA106,0.7447619047619047,0.7066666666666666,0.34857142857142853,0.9428571428571428,0.9428571428571428,0.6
CA107,0.6647619047619048,0.5733333333333334,0.36,0.42857142857142855,0.42857142857142855,-0.3142857142857143
CA108,0.68,0.6838095238095239,0.6152380952380953,0.14285714285714285,0.14285714285714285,-0.08571428571428572
CA109,0.9047619047619049,0.8666666666666667,0.5123809523809524,0.6571428571428571,0.8285714285714286,0.42857142857142855
CA110,0.8742857142857143,0.8400000000000001,0.8780952380952382,0.9428571428571428,0.8857142857142857,0.9428571428571428
CA112,0.8552380952380954,0.6990476190476189,0.8171428571428572,0.8285714285714286,0.8285714285714286,0.8857142857142857
CA113,0.5733333333333334,0.5885714285714286,0.05904761904761906,0.2,0.42857142857142855,-0.2571428571428571
CA114,0.9314285714285716,0.9466666666666668,0.8476190476190478,1.0,1.0,0.7714285714285715
CA116,0.9200000000000002,0.8019047619047621,0.4590476190476191,0.9428571428571428,0.8285714285714286,0.8857142857142857
CA118,0.9200000000000002,0.8857142857142858,0.7066666666666667,1.0,1.0,0.6571428571428571
CA121,0.05142857142857144,0.04380952380952382,-0.07809523809523808,-0.6571428571428571,-0.5428571428571428,-0.2571428571428571
CA125,0.5047619047619047,0.4552380952380953,-0.14285714285714285,0.6,0.4857142857142857,0.08571428571428572
CA126,0.7561904761904762,0.7257142857142856,0.7371428571428572,0.8285714285714286,0.8285714285714286,0.9428571428571428
CA127,0.8590476190476193,0.8057142857142857,0.8057142857142857,0.9428571428571428,0.9428571428571428,0.7714285714285715
CA128,0.7980952380952382,0.7752380952380953,0.7561904761904761,0.7714285714285715,0.7714285714285715,0.7714285714285715
CA131,0.7447619047619048,0.7371428571428571,0.641904761904762,0.7714285714285715,0.7714285714285715,0.7714285714285715
CA132,0.7142857142857142,0.6952380952380952,0.4476190476190476,0.8285714285714286,0.8285714285714286,0.4857142857142857
CA133,0.8438095238095239,0.7333333333333335,0.7066666666666666,1.0,0.9428571428571428,0.6
CA134,0.8819047619047621,0.8857142857142859,0.8780952380952382,0.8285714285714286,0.8285714285714286,0.7714285714285715
CA136,0.8971428571428572,0.8971428571428572,0.7180952380952381,0.8285714285714286,0.8285714285714286,0.7714285714285715
CA138,0.7904761904761904,0.6342857142857145,0.699047619047619,0.9428571428571428,0.9428571428571428,0.5428571428571428
CA139,0.9771428571428572,0.9657142857142859,0.900952380952381,0.9428571428571428,0.9428571428571428,0.8857142857142857
CA142,0.8361904761904763,0.8323809523809526,0.8095238095238098,0.9428571428571428,0.9428571428571428,0.8857142857142857
CA144,0.8171428571428573,0.7600000000000001,0.5923809523809523,0.7714285714285715,0.7714285714285715,0.6
CA145,0.8933333333333333,0.8666666666666669,0.5695238095238097,0.9428571428571428,0.9428571428571428,0.9428571428571428
CA146,0.9085714285714285,0.9276190476190478,0.9200000000000002,0.8857142857142857,0.9428571428571428,0.9428571428571428
