subject,FULL,AP,AMP,AP_minus_AMP,PCA_FULL,PCA_AP,PCA_AMP,PCA_AP_minus_AMP,SENSOR_FULL,SENSOR_AP,SENSOR_AMP,SENSOR_AP_minus_AMP,PRE_FULL,PRE_AP,PRE_AMP,phase_null_FULL_mean,phase_null_AP_mean,pearson_AP_minus_AMP,kendall_AP_minus_AMP
CA101,0.8552380952380952,0.8323809523809523,0.9047619047619049,-0.07238095238095255,0.8514285714285713,0.8400000000000001,0.84,1.1102230246251565e-16,0.8590476190476192,0.8514285714285715,0.8895238095238096,-0.03809523809523807,-0.1238095238095238,-0.07428571428571432,-0.05904761904761903,0.8947690835128023,0.9220291935869827,0.039434692550092465,-0.11555555555555552
CA102,0.7409523809523811,0.7333333333333335,0.6304761904761905,0.10285714285714298,0.7180952380952381,0.7066666666666667,0.7523809523809523,-0.045714285714285596,0.7600000000000001,0.7523809523809525,0.6952380952380953,0.05714285714285716,-0.047619047619047596,-0.028571428571428574,-0.24190476190476187,0.7701076812634601,0.7126776740847093,0.20746209136320193,0.07111111111111112
CA103,0.8552380952380955,0.8133333333333332,0.8133333333333336,-3.3306690738754696e-16,0.820952380952381,0.8780952380952382,0.84,0.03809523809523818,0.8933333333333336,0.8742857142857143,0.9314285714285716,-0.05714285714285727,0.03619047619047618,-0.013333333333333334,0.19238095238095243,0.9564297678870545,0.9187556831777938,0.025103074714416307,1.1102230246251565e-16
CA104,0.7600000000000001,0.7409523809523811,0.27238095238095233,0.4685714285714288,0.7980952380952381,0.8209523809523811,0.68,0.14095238095238105,0.6990476190476189,0.7180952380952381,0.36,0.35809523809523813,0.1123809523809524,0.07809523809523809,-0.13523809523809524,0.6800382866714526,0.6339219909069155,0.4731628758674099,0.3733333333333332
CA106,0.7447619047619047,0.7066666666666666,0.34857142857142853,0.358095238095238,0.7942857142857146,0.7676190476190478,0.4628571428571428,0.30476190476190496,0.7028571428571428,0.5923809523809526,0.4590476190476191,0.13333333333333347,-0.09333333333333332,-0.03619047619047621,0.13904761904761906,0.856903565446279,0.8306197654941374,0.3001912705651544,0.30222222222222217
CA107,0.6647619047619048,0.5733333333333334,0.36,0.21333333333333337,0.7904761904761904,0.7790476190476191,0.5314285714285715,0.24761904761904763,0.5276190476190477,0.5085714285714286,0.2457142857142857,0.2628571428571429,0.2571428571428572,0.3676190476190477,0.05904761904761903,0.6593826274228285,0.6013974635080163,0.11918591971546327,0.15999999999999998
CA108,0.68,0.6838095238095239,0.6152380952380953,0.06857142857142862,0.6952380952380951,0.6609523809523808,0.4742857142857143,0.18666666666666654,0.5847619047619047,0.5580952380952381,-0.12000000000000001,0.6780952380952381,0.08190476190476186,0.07809523809523812,-0.1733333333333333,0.8215841110313473,0.7603445800430726,0.12917712255858405,0.07999999999999996
CA109,0.9047619047619049,0.8666666666666667,0.5123809523809524,0.3542857142857143,0.7828571428571429,0.8095238095238095,0.3257142857142857,0.48380952380952386,0.8895238095238095,0.7904761904761904,0.35619047619047617,0.4342857142857143,0.14285714285714285,0.13904761904761903,0.013333333333333334,0.8443263938741323,0.7456233548695861,0.32700305624698656,0.37333333333333324
CA110,0.8742857142857143,0.8400000000000001,0.8780952380952382,-0.03809523809523807,0.9161904761904762,0.9047619047619048,0.8742857142857143,0.030476190476190435,0.8895238095238097,0.8400000000000001,0.68,0.16000000000000003,0.07428571428571429,0.07428571428571429,0.2342857142857143,0.9265853074898301,0.9039195979899497,0.02315058629289135,-0.07999999999999996
CA112,0.8552380952380954,0.6990476190476189,0.8171428571428572,-0.11809523809523825,0.9009523809523811,0.8514285714285716,0.8742857142857142,-0.022857142857142576,0.7257142857142856,0.7257142857142856,0.7523809523809525,-0.02666666666666684,-0.06666666666666668,-0.11238095238095239,0.2571428571428571,0.9569466379516631,0.9379564489112228,0.042097579130918605,-0.14222222222222214
CA113,0.5733333333333334,0.5885714285714286,0.05904761904761906,0.5295238095238096,0.862857142857143,0.8400000000000002,0.6647619047619048,0.17523809523809541,0.6000000000000001,0.5885714285714286,0.16190476190476188,0.42666666666666675,-0.2380952380952381,-0.18857142857142856,-0.3028571428571428,0.6032160804020101,0.6070256042115338,0.3424146207059582,0.41777777777777775
CA114,0.9314285714285716,0.9466666666666668,0.8476190476190478,0.09904761904761894,0.9123809523809524,0.9123809523809524,0.8209523809523811,0.0914285714285713,0.8933333333333333,0.862857142857143,0.904761904761905,-0.041904761904762,-0.2571428571428572,-0.31809523809523804,0.10095238095238093,0.9352572385738216,0.9556448911222781,-0.011205546581142034,0.16888888888888887
CA116,0.9200000000000002,0.8019047619047621,0.4590476190476191,0.342857142857143,0.8971428571428572,0.843809523809524,0.24952380952380945,0.5942857142857145,0.32952380952380955,0.32952380952380955,0.13523809523809524,0.1942857142857143,-0.15047619047619049,-0.11238095238095237,-0.09714285714285716,0.8644843263938741,0.8173151471643935,0.10958348943312313,0.25777777777777755
CA118,0.9200000000000002,0.8857142857142858,0.7066666666666667,0.17904761904761912,0.8742857142857144,0.8780952380952382,0.7790476190476191,0.09904761904761905,0.9200000000000002,0.8476190476190477,0.5085714285714286,0.33904761904761915,-0.19238095238095237,-0.2419047619047619,-0.18857142857142853,0.8239578846614024,0.8937927733907634,0.08857156517383225,0.18666666666666676
CA121,0.05142857142857144,0.04380952380952382,-0.07809523809523808,0.1219047619047619,-0.27238095238095233,-0.2457142857142857,-0.043809523809523805,-0.2019047619047619,0.0019047619047619128,0.013333333333333341,-0.001904761904761887,0.015238095238095228,0.032380952380952385,-0.043809523809523805,-0.18095238095238095,-0.04377123713807132,-0.05964106245513281,0.020302303195807326,0.1333333333333333
CA125,0.5047619047619047,0.4552380952380953,-0.14285714285714285,0.5980952380952381,0.1619047619047619,0.16952380952380952,0.17714285714285716,-0.007619047619047636,0.47047619047619044,0.43619047619047613,0.2761904761904762,0.15999999999999992,-0.1580952380952381,-0.1123809523809524,-0.11619047619047619,0.7691505144771477,0.6580234505862647,0.5400985794415161,0.4355555555555556
CA126,0.7561904761904762,0.7257142857142856,0.7371428571428572,-0.011428571428571566,0.7980952380952383,0.801904761904762,0.6952380952380951,0.10666666666666691,0.8704761904761906,0.8704761904761906,0.7904761904761908,0.07999999999999985,-0.38666666666666666,-0.3790476190476191,-0.37904761904761913,0.811840153146686,0.7428858578607322,0.0021682441549470965,0.08000000000000007
CA127,0.8590476190476193,0.8057142857142857,0.8057142857142857,0.0,0.9009523809523811,0.8857142857142859,0.8438095238095239,0.041904761904762,0.92,0.8819047619047621,0.6571428571428573,0.22476190476190483,0.043809523809523805,-0.03238095238095239,-0.16571428571428573,0.8006413017468295,0.790744197176358,0.07188815021093975,0.026666666666666616
CA128,0.7980952380952382,0.7752380952380953,0.7561904761904761,0.019047619047619202,0.7904761904761908,0.7942857142857147,0.7371428571428571,0.057142857142857606,0.7904761904761907,0.6495238095238096,0.820952380952381,-0.17142857142857137,0.07809523809523808,0.009523809523809526,0.03619047619047618,0.7527638190954774,0.7561139028475713,0.0506355516020397,0.017777777777777892
CA131,0.7447619047619048,0.7371428571428571,0.641904761904762,0.09523809523809512,0.779047619047619,0.7980952380952381,0.7676190476190476,0.030476190476190435,0.8209523809523811,0.8209523809523811,0.5733333333333334,0.24761904761904774,0.043809523809523805,0.05523809523809523,0.23428571428571426,0.7120459440057431,0.6698348887293611,0.14686841428235242,0.07111111111111112
CA132,0.7142857142857142,0.6952380952380952,0.4476190476190476,0.24761904761904763,0.46666666666666673,0.4666666666666667,0.4057142857142857,0.06095238095238098,0.35238095238095235,0.37142857142857133,0.1923809523809524,0.17904761904761893,-0.09333333333333332,0.00952380952380953,0.16571428571428573,0.749968892079445,0.75954055994257,0.3164313380231563,0.19555555555555554
CA133,0.8438095238095239,0.7333333333333335,0.7066666666666666,0.02666666666666695,0.7599999999999999,0.7676190476190478,0.6038095238095238,0.16380952380952396,0.8095238095238096,0.801904761904762,0.7599999999999999,0.04190476190476211,-0.1542857142857143,-0.18095238095238095,-0.08952380952380953,0.7790093323761667,0.6832926537449151,0.07871914904483424,0.07111111111111101
CA134,0.8819047619047621,0.8857142857142859,0.8780952380952382,0.007619047619047747,0.8552380952380955,0.8438095238095239,0.8857142857142859,-0.041904761904762,0.8095238095238098,0.8285714285714287,0.9161904761904762,-0.08761904761904749,0.09714285714285717,0.09333333333333331,0.0895238095238095,0.9400813591768367,0.9380713089255804,0.026751582873685842,0.03555555555555545
CA136,0.8971428571428572,0.8971428571428572,0.7180952380952381,0.17904761904761912,0.7561904761904762,0.7676190476190478,0.737142857142857,0.030476190476190768,0.7752380952380953,0.7752380952380953,0.7104761904761906,0.06476190476190469,0.17333333333333334,0.13523809523809524,-0.02095238095238094,0.7895573103613305,0.8365541995692752,0.05138225304811661,0.2222222222222221
CA138,0.7904761904761904,0.6342857142857145,0.699047619047619,-0.06476190476190458,0.8361904761904763,0.7676190476190478,0.7828571428571428,-0.01523809523809505,0.6723809523809524,0.6342857142857142,0.6952380952380951,-0.06095238095238087,-0.09333333333333332,-0.08952380952380955,0.15047619047619049,0.8311940655659249,0.7913184972481454,0.02896618858420197,-0.03555555555555562
CA139,0.9771428571428572,0.9657142857142859,0.900952380952381,0.06476190476190491,0.9466666666666668,0.9466666666666668,0.9047619047619048,0.041904761904762,0.9009523809523811,0.8361904761904764,0.8133333333333334,0.02285714285714302,0.005714285714285727,-0.04380952380952381,-0.0857142857142857,0.9436994496290979,0.9313711414213928,0.02352415586482537,0.09777777777777796
CA142,0.8361904761904763,0.8323809523809526,0.8095238095238098,0.022857142857142798,0.8095238095238095,0.7828571428571428,0.782857142857143,-2.220446049250313e-16,0.862857142857143,0.7790476190476192,0.7942857142857144,-0.015238095238095162,-0.18857142857142858,-0.12761904761904766,-0.1238095238095238,0.813620483369227,0.815534816941852,-0.045343564672453374,0.053333333333333344
CA144,0.8171428571428573,0.7600000000000001,0.5923809523809523,0.16761904761904778,0.8514285714285718,0.8361904761904764,0.6114285714285714,0.22476190476190494,0.7866666666666667,0.6876190476190478,0.5733333333333334,0.11428571428571443,-0.020952380952380927,-0.06285714285714285,0.15428571428571428,0.7140559942569994,0.6768796362766213,0.1624924939805914,0.1333333333333333
CA145,0.8933333333333333,0.8666666666666669,0.5695238095238097,0.29714285714285726,0.8780952380952382,0.8323809523809523,0.6342857142857145,0.19809523809523788,0.801904761904762,0.878095238095238,0.46285714285714286,0.4152380952380952,-0.028571428571428577,-0.055238095238095246,-0.0019047619047619054,0.9623833452979182,0.907212251734865,0.19088075737354016,0.28444444444444444
CA146,0.9085714285714285,0.9276190476190478,0.9200000000000002,0.007619047619047636,0.9276190476190477,0.9428571428571431,0.8971428571428572,0.04571428571428582,0.92,0.9428571428571428,0.7523809523809525,0.19047619047619035,-0.1771428571428571,-0.1123809523809524,-0.05142857142857143,0.8970662837999522,0.8787078248384782,0.08339315878143294,0.01777777777777778
