subject,FULL,AP,AMP,AP_minus_AMP,PCA_FULL,PCA_AP,PCA_AMP,PCA_AP_minus_AMP,SENSOR_FULL,SENSOR_AP,SENSOR_AMP,SENSOR_AP_minus_AMP,PRE_FULL,PRE_AP,PRE_AMP,phase_null_FULL_mean,phase_null_AP_mean,pearson_AP_minus_AMP,kendall_AP_minus_AMP
CB001,0.8019047619047619,0.8361904761904763,0.92,-0.08380952380952378,0.8628571428571429,0.8857142857142859,0.9009523809523811,-0.015238095238095162,0.7752380952380952,0.7980952380952382,0.8933333333333336,-0.09523809523809545,-0.07428571428571429,-0.02095238095238095,-0.028571428571428564,0.8842211055276383,0.8234793012682461,0.004758269652730185,-0.14222222222222225
CB002,0.3790476190476191,0.3257142857142856,0.13904761904761906,0.18666666666666656,0.7142857142857143,0.5885714285714285,0.5009523809523809,0.0876190476190476,0.3828571428571429,0.3333333333333333,0.09333333333333334,0.24,0.4171428571428571,0.31809523809523804,0.06285714285714286,0.7560373295046662,0.6808040201005026,0.28103888078826833,0.1422222222222222
CB003,0.7866666666666667,0.7904761904761906,0.5199999999999999,0.27047619047619065,0.7447619047619048,0.7523809523809525,0.5809523809523809,0.1714285714285716,0.7523809523809525,0.7447619047619048,0.36761904761904757,0.3771428571428573,-0.1733333333333333,-0.14285714285714285,-0.07809523809523806,0.7833740129217515,0.7918353673127544,0.16965099301991515,0.2222222222222222
CB006,0.8209523809523811,0.8361904761904762,0.744761904761905,0.09142857142857119,0.8590476190476192,0.8552380952380954,0.702857142857143,0.1523809523809524,0.8400000000000002,0.824761904761905,0.8095238095238098,0.015238095238095273,-0.07428571428571429,-0.08190476190476191,-0.17333333333333334,0.8752428810720269,0.8884709260588659,0.03694296740440284,0.035555555555555673
CB008,0.8552380952380954,0.7676190476190478,0.6190476190476192,0.14857142857142858,0.8361904761904763,0.8019047619047619,0.6685714285714286,0.1333333333333333,0.8095238095238095,0.7828571428571429,0.7219047619047619,0.06095238095238098,-0.21523809523809528,-0.1961904761904762,-0.08571428571428572,0.7495285953577412,0.7582388131131851,0.07491148731686426,0.14222222222222225
CB011,0.7142857142857143,0.7333333333333333,0.5923809523809525,0.14095238095238083,0.6761904761904761,0.6685714285714286,0.42476190476190484,0.24380952380952375,0.5619047619047618,0.6380952380952382,0.4971428571428571,0.14095238095238105,-0.1619047619047619,-0.18476190476190477,0.04761904761904761,0.835788466140225,0.8140799234266571,0.16348324482712295,0.11555555555555552
CB015,0.9352380952380953,0.8933333333333333,0.7980952380952382,0.09523809523809512,0.8552380952380954,0.8552380952380954,0.6914285714285715,0.16380952380952385,0.8704761904761906,0.7638095238095238,0.8057142857142857,-0.04190476190476189,-0.04380952380952379,0.009523809523809513,-0.07047619047619048,0.9453457765015555,0.9183345297918163,0.09645076613010917,0.11555555555555563
CB016,0.36000000000000004,0.41714285714285715,0.08190476190476191,0.3352380952380952,0.4209523809523809,0.42857142857142866,0.2380952380952381,0.19047619047619055,0.420952380952381,0.43619047619047624,0.21904761904761905,0.2171428571428572,0.12380952380952381,0.2533333333333333,0.09333333333333332,0.4717205072983968,0.5679540559942571,0.3306624673661972,0.24
CB019,0.30666666666666664,0.3371428571428572,0.34095238095238095,-0.0038095238095237627,0.8361904761904764,0.8209523809523811,0.6152380952380951,0.20571428571428596,0.5733333333333335,0.5161904761904761,0.40952380952380957,0.10666666666666652,0.1847619047619048,0.14666666666666667,0.180952380952381,0.6457908590571908,0.5613113184972481,0.20600918558047143,-0.07111111111111115
CB020,0.8819047619047621,0.8400000000000002,0.8666666666666668,-0.026666666666666616,0.8323809523809526,0.8361904761904762,0.843809523809524,-0.007619047619047858,0.8514285714285716,0.8514285714285716,0.8857142857142858,-0.03428571428571414,0.017142857142857147,-0.04761904761904761,-0.2685714285714285,0.9481598468533141,0.9488872936109116,0.009650198564581158,-0.04444444444444451
CB022,0.2380952380952381,0.04,-0.17714285714285716,0.21714285714285717,0.6647619047619049,0.6076190476190476,0.10095238095238095,0.5066666666666667,0.5961904761904762,0.43238095238095225,0.2761904761904762,0.15619047619047605,0.3219047619047618,0.2761904761904762,-0.009523809523809535,0.3137688442211055,0.10592964824120604,0.165889470723236,0.19555555555555554
CB023,0.7790476190476191,0.779047619047619,0.6,0.179047619047619,0.9047619047619049,0.9009523809523811,0.8247619047619048,0.07619047619047625,0.8323809523809526,0.8019047619047619,0.7257142857142858,0.07619047619047614,-0.059047619047619015,-0.07809523809523808,-0.11619047619047618,0.8111701363962672,0.8016176118688683,0.05168325238934279,0.17777777777777776
CB024,0.638095238095238,0.7142857142857143,0.43238095238095225,0.28190476190476205,0.6076190476190476,0.6,0.39428571428571424,0.20571428571428574,0.6571428571428573,0.6114285714285715,0.5733333333333334,0.03809523809523818,0.009523809523809552,-0.07047619047619048,0.06285714285714286,0.6737401292175162,0.6321225173486481,0.13786738319835062,0.24
CB027,0.7714285714285716,0.6,0.558095238095238,0.041904761904762,0.8095238095238096,0.7714285714285716,0.6152380952380951,0.15619047619047643,0.7980952380952382,0.7295238095238097,0.7676190476190476,-0.03809523809523796,-0.17333333333333334,-0.05523809523809523,-0.10476190476190476,0.7541995692749464,0.6741229959320412,0.038327217868373786,0.03555555555555551
CB028,0.6571428571428571,0.5580952380952381,0.4895238095238094,0.06857142857142867,0.7142857142857143,0.660952380952381,0.260952380952381,0.39999999999999997,0.6152380952380951,0.5885714285714286,0.3752380952380952,0.21333333333333343,0.04380952380952381,0.11238095238095239,0.2457142857142857,0.7487437185929648,0.7669873175400814,0.06189454958286278,0.03555555555555556
CB029,0.8628571428571431,0.8247619047619048,0.4895238095238095,0.3352380952380953,0.7714285714285715,0.7104761904761905,0.46285714285714274,0.24761904761904774,0.8400000000000001,0.8400000000000001,0.52,0.32000000000000006,-0.11238095238095235,-0.13904761904761906,-0.22666666666666666,0.7232830820770519,0.721923905240488,0.22347560329354532,0.32888888888888884
CB030,0.5580952380952381,0.52,0.43238095238095237,0.08761904761904765,0.6380952380952379,0.6647619047619046,0.1847619047619048,0.47999999999999976,0.24571428571428566,0.26476190476190475,0.24190476190476187,0.02285714285714288,-0.08571428571428573,-0.036190476190476197,-0.04000000000000001,0.5629767887054319,0.4820961952620245,0.21429410769307988,0.07111111111111107
CB031,0.8285714285714287,0.7752380952380953,0.6647619047619048,0.1104761904761905,0.7942857142857142,0.6799999999999999,0.6419047619047619,0.03809523809523807,0.8438095238095238,0.7219047619047618,0.7638095238095239,-0.04190476190476211,-0.07809523809523808,-0.08190476190476191,0.15428571428571428,0.8203780808805935,0.8616702560421153,0.07886493016677909,0.07999999999999996
CB035,0.7295238095238096,0.7295238095238096,0.8285714285714287,-0.09904761904761916,0.6990476190476189,0.6952380952380952,0.7752380952380953,-0.08000000000000007,0.7257142857142858,0.7371428571428572,0.5771428571428571,0.16000000000000014,-0.11619047619047615,-0.11619047619047618,-0.06666666666666667,0.7569944962909787,0.7411438143096434,0.04300336877244959,-0.14222222222222203
CB036,0.699047619047619,0.6304761904761905,0.40952380952380946,0.22095238095238107,0.7638095238095239,0.7561904761904762,0.6457142857142857,0.1104761904761905,0.8133333333333334,0.782857142857143,0.7904761904761906,-0.007619047619047525,0.02095238095238095,0.01714285714285717,0.09714285714285716,0.697975592246949,0.6054941373534338,0.293934512967827,0.16888888888888887
CB038,0.5580952380952381,0.5809523809523809,0.09714285714285714,0.48380952380952374,0.7714285714285715,0.718095238095238,0.4019047619047619,0.31619047619047613,0.6990476190476189,0.6914285714285715,0.302857142857143,0.3885714285714285,0.0019047619047618944,0.04761904761904763,-0.02476190476190476,0.6701028954295288,0.769935391241924,0.4252420696221837,0.35555555555555557
CB039,0.8819047619047621,0.8704761904761907,0.5314285714285714,0.3390476190476194,0.8704761904761906,0.843809523809524,0.7028571428571428,0.14095238095238116,0.9238095238095239,0.8933333333333334,0.5771428571428571,0.31619047619047636,0.21904761904761907,0.2571428571428572,0.15047619047619049,0.8912084230677196,0.8959368269921034,0.15282908940728113,0.3288888888888887
CB040,0.8133333333333336,0.8628571428571429,0.740952380952381,0.12190476190476185,0.7219047619047619,0.6952380952380952,0.7219047619047619,-0.026666666666666727,0.7295238095238095,0.7257142857142858,0.5923809523809523,0.13333333333333341,-0.22666666666666668,-0.2838095238095238,0.11238095238095239,0.7115673606125866,0.7748360851878441,0.08223683257943892,0.16888888888888876
CB041,0.7638095238095238,0.7257142857142858,0.32952380952380955,0.3961904761904762,0.7752380952380953,0.7600000000000001,0.40952380952380957,0.35047619047619055,0.8171428571428572,0.7942857142857144,0.6266666666666667,0.16761904761904767,0.09714285714285713,0.11619047619047616,-0.043809523809523805,0.6985498923187364,0.5688346494376646,0.27709733425914085,0.3111111111111111
CB042,0.26857142857142857,0.26095238095238094,-0.24571428571428572,0.5066666666666666,0.3904761904761905,0.30666666666666664,0.3104761904761905,-0.0038095238095238737,0.27238095238095233,0.3028571428571428,0.16952380952380952,0.1333333333333333,-0.0019047619047619017,-0.05142857142857143,-0.18095238095238095,0.2372337879875568,0.2988753290260828,0.6448880758427804,0.36444444444444446
CB044,0.740952380952381,0.6876190476190476,0.660952380952381,0.026666666666666616,0.7980952380952381,0.8019047619047618,0.4819047619047619,0.3199999999999999,0.7066666666666666,0.6914285714285714,0.4971428571428571,0.19428571428571428,0.10857142857142854,0.036190476190476197,-0.08571428571428573,0.7717922948073703,0.758679109834889,-6.821464835837787e-05,0.02666666666666684
